Tracking Number	Sub-Office	Submitted Date	Closed Date	Detail	Disposition	
DOJ-2017-005712	Office of Information Policy	07/03/2017	08/01/2017	"Copies of memoranda, guidance, and policies issued related to the Freedom of
Information Act since January 1, 2017."	Full grant	
DOJ-2017-002724	Office of Information Policy	03/06/2017	08/01/2017	"Records concerning the Freedom of Information Act ""decision tree"" developed by the
Office of Information Policy."	Full grant	
DOJ-2017-005211	Office of the Attorney General	07/03/2017	08/01/2017	"Copies of memoranda, guidance, and policies issued related to the Freedom of
Information Act since January 1, 2017."	No records	
DOJ-2017-000676	Office of Public Affairs	11/08/2016	08/01/2017	"Records pertaining to the meeting on June 27, 2016, between Attorney General Loretta
Lynch and former President William J. Clinton."	Partial grant/partial denial	
DOJ-2017-000655	Office of Information Policy	11/08/2016	08/01/2017	"Records pertaining to the meeting on June 27, 2016, between Attorney General Loretta
Lynch and former President William J. Clinton."	Partial grant/partial denial	
DOJ-2017-000657	Office of the Attorney General	11/08/2016	08/01/2017	"Records pertaining to the meeting on June 27, 2016, between Attorney General Loretta
Lynch and former President William J. Clinton."	Partial grant/partial denial	
DOJ-2017-000674	Office of the Deputy Attorney General	11/08/2016	08/01/2017	"Records pertaining to the meeting on June 27, 2016, between Attorney General Loretta
Lynch and former President William J. Clinton."	Partial grant/partial denial	
DOJ-2017-004727	Office of the Attorney General	06/15/2017	08/02/2017	"Copies of the guidelines or policies regarding conversations with the President of the
United States referenced by Attorney General Jefferson Sessions in his public testimony
before the Senate Intelligence Committee."	Full grant	
DOJ-2017-004742	Office of the Attorney General	06/15/2017	08/02/2017	"Copies of the guidelines or policies regarding conversations with the President of the
United States referenced by Attorney General Jefferson Sessions in his public testimony
before the Senate Intelligence Committee."	Full grant	
DOJ-2017-004743	Office of the Attorney General	06/15/2017	08/02/2017	"Copies of the guidelines or policies regarding conversations with the President of the
United States referenced by Attorney General Jefferson Sessions in his public testimony
before the Senate Intelligence Committee."	Full grant	
DOJ-2017-004741	Office of Information Policy	06/15/2017	08/02/2017	"Copies of the guidelines or policies regarding conversations with the President of the
United States referenced by Attorney General Jefferson Sessions in his public testimony
before the Senate Intelligence Committee."	Full grant	
DOJ-2017-004800	Office of the Attorney General	06/14/2017	08/02/2017	"Copies of the guidelines or policies regarding conversations with the President of the
United States referenced by Attorney General Jefferson Sessions in his public testimony
before the Senate Intelligence Committee."	Full grant	
DOJ-2017-005111	Office of the Attorney General	07/06/2017	08/03/2017	Copies of materials provided to political appointees.	Other - Directed Requester to Another Entity Subject to the FOIA	
DOJ-2017-005203	Office of Information Policy	07/10/2017	08/04/2017	Records concerning former Rep. Delbert Leroy Latta.	All records referred to another agency	
DOJ-2017-005220	Office of Information Policy	07/10/2017	08/04/2017	"Copy of the Department of Justice investigative report of the Ferguson, MO, Police
Department."	Other - Records Publically Available	
DOJ-2017-005783	Office of Information Policy	08/02/2017	08/07/2017	Records concerning a specific federal court case.	All records referred to another agency	
DOJ-2017-005778	Office of Information Policy	08/02/2017	08/07/2017	Records concerning federal prisoners convicted of witness tampering.	All records referred to another agency	
DOJ-2017-005217	Office of Information Policy	07/10/2017	08/07/2017	Records concerning the Intervale gang.	No records	
DOJ-2017-005174	Office of the Attorney General	07/10/2017	08/07/2017	Records concerning contact with the White House between 1981 and 1993.	Other - Directed Requester to Another Entity Subject to the FOIA	
DOJ-2014-000187	Office of the Attorney General	08/27/2014	08/08/2017	"Copies of Attorney General Eric Holder's calendars from August through September
2012."	Partial grant/partial denial	
DOJ-2014-000140	Office of the Attorney General	06/19/2014	08/08/2017	"Copies of Attorney General Eric Holder's calendars from December 2011 through
December 2012."	Partial grant/partial denial	
DOJ-2017-005418	Office of the Attorney General	07/17/2017	08/09/2017	"Records concering the speech given by Attorney General Jefferson Sessions at the
Alliance Defending Freedom's ""Summit on Religious Liberty"" on July 11, 2017."	Full grant	
DOJ-2017-005278	Office of the Attorney General	07/13/2017	08/09/2017	"Records concering the speech given by Attorney General Jefferson Sessions at the
Alliance Defending Freedom's ""Summit on Religious Liberty"" on July 11, 2017."	Full grant	
DOJ-2017-004783	Office of the Attorney General	06/16/2017	08/09/2017	"Copies of the guidelines or policies regarding conversations with the President of the
United States referenced by Attorney General Jefferson Sessions in his public testimony
before the Senate Intelligence Committee."	Full grant	
DOJ-2017-004658	Office of the Attorney General	06/14/2017	08/09/2017	"Copies of the guidelines or policies regarding conversations with the President of the
United States referenced by Attorney General Jefferson Sessions in his public testimony
before the Senate Intelligence Committee."	Full grant	
DOJ-2017-004661	Office of Information Policy	06/14/2017	08/09/2017	"Copies of the guidelines or policies regarding conversations with the President of the
United States referenced by Attorney General Jefferson Sessions in his public testimony
before the Senate Intelligence Committee."	Full grant	
DOJ-2016-000157	Office of the Attorney General	02/19/2016	08/09/2017	"Records pertaining to shipments of lethal injection drugs to the Arizona Department of
Corrections and Texas Department of Criminal Justice."	Full grant	
DOJ-2016-000158	Office of the Deputy Attorney General	02/19/2016	08/09/2017	"Records pertaining to shipments of lethal injection drugs to the Arizona Department of
Corrections and Texas Department of Criminal Justice."	Full grant	
DOJ-2014-000144	Office of the Attorney General	06/20/2014	08/09/2017	"Communications between the Department of Justice and Department of Defense from
January 1, 2014, through June 11, 2014, concerning the legality of the release of five
Taliban detainees from Guantanamo Bay in exchange for U.S. Army Sgt. Bowe Bergdahl."	No records	
DOJ-2014-000145	Office of the Deputy Attorney General	06/20/2014	08/09/2017	"Communications between the Department of Justice and Department of Defense from
January 1, 2014, through June 11, 2014, concerning the legality of the release of five
Taliban detainees from Guantanamo Bay in exchange for U.S. Army Sgt. Bowe Bergdahl."	No records	
DOJ-2014-000080	Office of the Deputy Attorney General	02/14/2014	08/09/2017	"Copies of all records resulting from a search of the Departmental Executive Secretariat
database associated with the term ""insider threat(s)."""	No records	
DOJ-2017-000273	Office of the Attorney General	10/07/2016	08/09/2017	"Email correspondence to and from Attorney General Loretta Lynch, Deputy Attorney
General Sally Q. Yates, Assistant Attorney General for the Criminal Division Leslie
Caldwell, and United States Attorney Preet Bharara regarding various film and television
references."	Request withdrawn	
